,ID,Age,Block,Gender,Vision,LicenseMonths,frameidx,trackindex,trialn,currtime,midlinepts,SWA,posx,posz,yaw,yaw_d,yawrate,steeringbias,autoflag,sectiontype,sectionorder,sectioncount,trialtype,obstaclecolour,obstacleoffset
0,12000.0,99.0,99.0,99.0,99.0,99.0,0.0,0.0,0.0,7.614678015667562,30000.0,0.006000000052154064,-25.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1,12000.0,99.0,99.0,99.0,99.0,99.0,1.0,33.0,0.0,7.66113735921411,30000.0,0.006000000052154064,-25.0,20.133333206176758,0.0035000001080334187,-0.0035000001080334187,-0.07562014437978255,-0.0013200048566268663,0.0,0.0,0.0,0.0,0.0,0.0,0.5
2,12000.0,99.0,99.0,99.0,99.0,99.0,2.0,67.0,0.0,7.6929198341479434,30000.0,0.006000000052154064,-24.99999237060547,20.266666412353516,0.007000000216066837,-0.0035000001080334187,-0.14139102453352972,0.0013604117203192905,0.0,0.0,0.0,0.0,0.0,0.0,0.5
3,12000.0,99.0,99.0,99.0,99.0,99.0,3.0,100.0,0.0,7.72305749280374,30000.0,0.006000000052154064,-24.999975204467773,20.399999618530273,0.010499999858438969,-0.0034999996423721313,-0.09449805065394291,4.738992103442739e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.5
4,12000.0,99.0,99.0,99.0,99.0,99.0,4.0,133.0,0.0,7.83262568098835,30000.0,0.006000000052154064,-24.999950408935547,20.53333282470703,0.014000000432133675,-0.003500000573694706,-0.03181378003894562,-0.0012805799654745707,0.0,0.0,0.0,0.0,0.0,0.0,0.5
5,12000.0,99.0,99.0,99.0,99.0,99.0,5.0,167.0,0.0,7.836247355736723,30000.0,0.006000000052154064,-24.99991798400879,20.66666603088379,0.017500000074505806,-0.0034999996423721313,-0.89219073678355,0.0014031747774003978,0.0,0.0,0.0,0.0,0.0,0.0,0.5
6,12000.0,99.0,99.0,99.0,99.0,99.0,6.0,267.0,0.0,7.868998186445917,30000.0,0.006000000052154064,-24.999771118164062,21.066665649414062,0.02800000086426735,-0.010500000789761543,-0.3199008480755888,0.00145922331818758,0.0,0.0,0.0,0.0,0.0,0.0,0.5
7,12000.0,99.0,99.0,99.0,99.0,99.0,7.0,300.0,0.0,7.885580675385893,30000.0,0.006000000052154064,-24.999706268310547,21.19999885559082,0.03150000423192978,-0.00350000336766243,-0.21108543885855244,0.0003177375979721393,0.0,0.0,0.0,0.0,0.0,0.0,0.5
8,12000.0,99.0,99.0,99.0,99.0,99.0,8.0,333.0,0.0,7.902304735042405,30000.0,0.006000000052154064,-24.9996337890625,21.333332061767578,0.03500000014901161,-0.003499995917081833,-0.21026582173904873,-0.0012535342228330432,0.0,0.0,0.0,0.0,0.0,0.0,0.5
9,12000.0,99.0,99.0,99.0,99.0,99.0,9.0,367.0,0.0,7.918811156134691,30000.0,0.006000000052154064,-24.99955177307129,21.466665267944336,0.03850000351667404,-0.00350000336766243,-0.21082061776577424,0.0015478656640446375,0.0,0.0,0.0,0.0,0.0,0.0,0.5
10,12000.0,99.0,99.0,99.0,99.0,99.0,10.0,400.0,0.0,7.9357978309796575,30000.0,0.006000000052154064,-24.999462127685547,21.599998474121094,0.041999999433755875,-0.003499995917081833,-0.2090715388661494,0.0005616069851883267,0.0,0.0,0.0,0.0,0.0,0.0,0.5
11,12000.0,99.0,99.0,99.0,99.0,99.0,11.0,433.0,0.0,7.952255955025791,30000.0,0.006000000052154064,-24.999364852905273,21.73333168029785,0.045499999076128006,-0.0034999996423721313,-0.21008317899766535,-0.0013211541541303963,0.0,0.0,0.0,0.0,0.0,0.0,0.5
12,12000.0,99.0,99.0,99.0,99.0,99.0,12.0,467.0,0.0,7.968881609450766,30000.0,0.006000000052154064,-24.999258041381836,21.86666488647461,0.049000002443790436,-0.00350000336766243,-0.20947235301609296,0.001693156884212325,0.0,0.0,0.0,0.0,0.0,0.0,0.5
13,12000.0,99.0,99.0,99.0,99.0,99.0,13.0,500.0,0.0,7.9855048490234335,30000.0,0.006000000052154064,-24.999143600463867,21.999998092651367,0.05250000208616257,-0.0034999996423721313,-0.21085489753117068,0.0008798834129716477,0.0,0.0,0.0,0.0,0.0,0.0,0.5
14,12000.0,99.0,99.0,99.0,99.0,99.0,14.0,533.0,0.0,8.002229210536484,30000.0,0.006000000052154064,-24.999021530151367,22.133331298828125,0.0560000017285347,-0.0034999996423721313,-0.2102660455396488,-0.0014857659822765988,0.0,0.0,0.0,0.0,0.0,0.0,0.5
15,12000.0,99.0,99.0,99.0,99.0,99.0,15.0,567.0,0.0,8.019007604369916,30000.0,0.006000000052154064,-24.998891830444336,22.266664505004883,0.05950000882148743,-0.0035000070929527283,-0.2095445024354053,0.0019154310974751633,0.0,0.0,0.0,0.0,0.0,0.0,0.5
16,12000.0,99.0,99.0,99.0,99.0,99.0,16.0,600.0,0.0,8.035792639047196,30000.0,0.006000000052154064,-24.99875259399414,22.39999771118164,0.06300000846385956,-0.0034999996423721313,-0.20826063431054495,0.001270723119549853,0.0,0.0,0.0,0.0,0.0,0.0,0.5
17,12000.0,99.0,99.0,99.0,99.0,99.0,17.0,633.0,0.0,8.052286684021405,30000.0,0.006000000052154064,-24.998605728149414,22.5333309173584,0.06650000065565109,-0.0034999921917915344,-0.21028085115555187,0.0017622185214972862,0.0,0.0,0.0,0.0,0.0,0.0,0.5
18,12000.0,99.0,99.0,99.0,99.0,99.0,18.0,667.0,0.0,8.068998065703301,30000.0,0.006000000052154064,-24.998451232910156,22.666664123535156,0.07000000029802322,-0.0034999996423721313,-0.21014029061454234,0.0022287523141048104,0.0,0.0,0.0,0.0,0.0,0.0,0.5
19,12000.0,99.0,99.0,99.0,99.0,99.0,19.0,700.0,0.0,8.085653302069046,30000.0,0.006000000052154064,-24.998289108276367,22.799997329711914,0.07349999248981476,-0.0034999921917915344,-0.21044114364799252,0.0017340901976727048,0.0,0.0,0.0,0.0,0.0,0.0,0.5
