,ID,Age,Block,Gender,Vision,LicenseMonths,frameidx,trackindex,trialn,currtime,midlinepts,SWA,posx,posz,yaw,yaw_d,yawrate,steeringbias,autoflag,sectiontype,sectionorder,sectioncount,trialtype,obstaclecolour,obstacleoffset
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40053.0,0.0,28.485452325985744,70020.0,-0.00800000037997961,24.936017990112305,-20.21225357055664,179.72149658203125,0.004669189453125,0.24877752600437486,0.06398243184155623,0.0,0.0,3.0,1.0,2.0,1.0,0.25
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40086.0,0.0,28.530917354094623,70020.0,-0.00800000037997961,24.93666648864746,-20.345584869384766,179.7168426513672,0.0046539306640625,0.10217563607358324,0.06335248696686666,0.0,0.0,3.0,1.0,2.0,1.0,0.25
2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40120.0,0.0,28.53492721635145,70020.0,-0.00800000037997961,24.93732452392578,-20.47891616821289,179.71217346191406,0.004669189453125,1.2547242240732814,0.06268569498052146,0.0,0.0,3.0,1.0,2.0,1.0,0.25
3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40186.0,0.0,28.549969331375692,70020.0,-0.00800000037997961,24.938674926757812,-20.74557876586914,179.7028350830078,0.00933837890625,0.6066690290769513,0.06134352209028061,0.0,0.0,3.0,1.0,2.0,1.0,0.25
4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,40220.0,0.0,28.566736254660665,70020.0,-0.00800000037997961,24.939367294311523,-20.878910064697266,179.6981658935547,0.004669189453125,0.2797706638639733,0.06064414688505936,0.0,0.0,3.0,1.0,2.0,1.0,0.25
5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40253.0,0.0,28.583462729169483,70020.0,-0.00800000037997961,24.9400691986084,-21.01224136352539,179.69351196289062,0.0046539306640625,0.2815296623637407,0.059930965271855506,0.0,0.0,3.0,1.0,2.0,1.0,0.25
6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,40286.0,0.0,28.59993383304677,70020.0,-0.00800000037997961,24.94078254699707,-21.145572662353516,179.6888427734375,0.004669189453125,0.2798769674020413,0.05923540525629598,0.0,0.0,3.0,1.0,2.0,1.0,0.25
7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,40320.0,0.0,28.61672490485482,70020.0,-0.00800000037997961,24.94150733947754,-21.27890396118164,179.68417358398438,0.004669189453125,0.28055210364332056,0.05850546673058343,0.0,0.0,3.0,1.0,2.0,1.0,0.25
8,0.0,0.0,0.0,0.0,0.0,0.0,8.0,40353.0,0.0,28.633248833626336,70020.0,-0.007000000216066837,24.942241668701172,-21.412235260009766,179.6800994873047,0.0040740966796875,0.24357175073202794,0.05775840786460708,0.0,0.0,3.0,1.0,2.0,1.0,0.25
9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,40386.0,0.0,28.649888675308617,70020.0,-0.007000000216066837,24.94298553466797,-21.54556655883789,179.67599487304688,0.0041046142578125,0.24720753119545527,0.05703195074753485,0.0,0.0,3.0,1.0,2.0,1.0,0.25
10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40420.0,0.0,28.666543609817822,70020.0,-0.007000000216066837,24.94373893737793,-21.678897857666016,179.6719207763672,0.0040740966796875,0.24410478833011837,0.05627539845789126,0.0,0.0,3.0,1.0,2.0,1.0,0.25
11,0.0,0.0,0.0,0.0,0.0,0.0,11.0,40453.0,0.0,28.68324110609895,70020.0,-0.006000000052154064,24.944501876831055,-21.81222915649414,179.6678466796875,0.0040740966796875,0.24549898778694304,0.05549814387313296,0.0,0.0,3.0,1.0,2.0,1.0,0.25
12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40486.0,0.0,28.699995351409306,70020.0,-0.004999999888241291,24.945274353027344,-21.945560455322266,179.66433715820312,0.003509521484375,0.20944793871600115,0.05474269349056659,0.0,0.0,3.0,1.0,2.0,1.0,0.25
13,0.0,0.0,0.0,0.0,0.0,0.0,13.0,40520.0,0.0,28.7164845666789,70020.0,-0.004999999888241291,24.946056365966797,-22.07889175415039,179.66143798828125,0.002899169921875,0.17418954061854774,0.05395969060888412,0.0,0.0,3.0,1.0,2.0,1.0,0.25
14,0.0,0.0,0.0,0.0,0.0,0.0,14.0,40553.0,0.0,28.73336921401387,70020.0,-0.004000000189989805,24.94684410095215,-22.212223052978516,179.65850830078125,0.0029296875,0.17556460511559469,0.053155899079381785,0.0,0.0,3.0,1.0,2.0,1.0,0.25
15,0.0,0.0,0.0,0.0,0.0,0.0,15.0,40586.0,0.0,28.749925441435003,70020.0,-0.003000000026077032,24.94763946533203,-22.34555435180664,179.6561737060547,0.0023345947265625,0.14009310625801696,0.05237716870548112,0.0,0.0,3.0,1.0,2.0,1.0,0.25
16,0.0,0.0,0.0,0.0,0.0,0.0,16.0,40620.0,0.0,28.76671440024728,70020.0,-0.0020000000949949026,24.94843864440918,-22.478885650634766,179.6544189453125,0.0017547607421875,0.10484674071716447,0.0515793510402746,0.0,0.0,3.0,1.0,2.0,1.0,0.25
17,0.0,0.0,0.0,0.0,0.0,0.0,17.0,40653.0,0.0,28.783267005389952,70020.0,-0.0020000000949949026,24.949243545532227,-22.61221694946289,179.6532440185547,0.0011749267578125,0.07054398580791808,0.05075647377982196,0.0,0.0,3.0,1.0,2.0,1.0,0.25
